"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 30 16:33:24 MSK 2022","Sun Oct 30 16:33:25 MSK 2022","282","tests","Тестирование блока 'Вопросы о Важном'","TestQuestion","","","2. Проверка текста в ответе на важный вопрос ""Хочу сразу несколько самокатов! Так можно?""",""
"passed","Sun Oct 30 16:35:19 MSK 2022","Sun Oct 30 16:35:20 MSK 2022","622","tests","Тестирование переходов на главной странице","TestMainPage","","","4. Проверка перехода на главную страницу сайта заказа самокатов, через страницу статуса заказа",""
"passed","Sun Oct 30 16:33:15 MSK 2022","Sun Oct 30 16:33:15 MSK 2022","292","tests","Тестирование блока 'Вопросы о Важном'","TestQuestion","","","1. Проверка текста в ответе на важный вопрос ""Сколько это стоит? И как оплатить?""",""
"passed","Sun Oct 30 16:34:17 MSK 2022","Sun Oct 30 16:34:18 MSK 2022","250","tests","Тестирование блока 'Вопросы о Важном'","TestQuestion","","","8. Проверка текста в ответе на важный вопрос ""Я жизу за МКАДом, привезёте?""",""
"passed","Sun Oct 30 16:35:29 MSK 2022","Sun Oct 30 16:35:31 MSK 2022","2245","tests","Тестирование переходов на главной странице","TestMainPage","","","5. Проверка перехода на главную Яндекс через клик по логотипу Яндекс",""
"passed","Sun Oct 30 16:33:31 MSK 2022","Sun Oct 30 16:33:32 MSK 2022","250","tests","Тестирование блока 'Вопросы о Важном'","TestQuestion","","","3. Проверка текста в ответе на важный вопрос ""Как рассчитывается время аренды?""",""
"passed","Sun Oct 30 16:34:43 MSK 2022","Sun Oct 30 16:34:47 MSK 2022","4016","tests","Тестирование блока оформления заказа","TestOrderPage","","","2. Проверка создания заказа на самокат, через кнопку 'Заказать' в теле сайта",""
"passed","Sun Oct 30 16:35:05 MSK 2022","Sun Oct 30 16:35:05 MSK 2022","248","tests","Тестирование переходов на главной странице","TestMainPage","","","2. Проверка перехода на страницу создания заказа на самокат",""
"passed","Sun Oct 30 16:33:51 MSK 2022","Sun Oct 30 16:33:52 MSK 2022","287","tests","Тестирование блока 'Вопросы о Важном'","TestQuestion","","","5. Проверка текста в ответе на важный вопрос ""Можно ли продлить заказ или вернуть самокат раньше?""",""
"passed","Sun Oct 30 16:34:09 MSK 2022","Sun Oct 30 16:34:09 MSK 2022","253","tests","Тестирование блока 'Вопросы о Важном'","TestQuestion","","","7. Проверка текста в ответе на важный вопрос ""Можно ли отменить заказ?""",""
"passed","Sun Oct 30 16:35:12 MSK 2022","Sun Oct 30 16:35:13 MSK 2022","633","tests","Тестирование переходов на главной странице","TestMainPage","","","3. Проверка перехода на главную страницу сайта заказа самокатов, через переход в форму оформления заказа",""
"passed","Sun Oct 30 16:33:40 MSK 2022","Sun Oct 30 16:33:41 MSK 2022","288","tests","Тестирование блока 'Вопросы о Важном'","TestQuestion","","","4. Проверка текста в ответе на важный вопрос ""Можно ли заказать самокат прямо на сегодня?""",""
"passed","Sun Oct 30 16:34:30 MSK 2022","Sun Oct 30 16:34:34 MSK 2022","4126","tests","Тестирование блока оформления заказа","TestOrderPage","","","1. Проверка создания заказа на самокат, через кнопку 'Заказать' в header сайта",""
"passed","Sun Oct 30 16:34:57 MSK 2022","Sun Oct 30 16:34:57 MSK 2022","245","tests","Тестирование переходов на главной странице","TestMainPage","","","1. Проверка перехода на страницу создания заказа на самокат",""
"passed","Sun Oct 30 16:33:59 MSK 2022","Sun Oct 30 16:33:59 MSK 2022","251","tests","Тестирование блока 'Вопросы о Важном'","TestQuestion","","","6. Проверка текста в ответе на важный вопрос ""Вы привозите зарядку вместе с самокатом?""",""
